Index	Inst	Title	PI	Local PI	MemberID	Phase	Sponsor	Sponsor Type	Type	Age	Trial IDs	Tumor Type(s)
316	NSLIJ 	Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane with or without Chemotherapy in Treating Patients with Invasive RxPONDER Breast Cancer	Kevin Michael Kalinsky	Jane E. Carleton, MD	94	Phase III	NCI	NCI	 Health services research, Treatment	 18 and over	 S1007, NCI-2011-02623, CDR0000692475, PS1007_A11PAMDREVW01, SWOG-S1007, NCT01272037	Breast
317	LIJ	Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane with or without Chemotherapy in Treating Patients with Invasive RxPONDER Breast Cancer	Julie R. Gralow	Jane E. Carleton, MD	94	Phase III	NCI	NCI	 Health services research, Treatment	 18 and over	 S1007, NCI-2011-02623, CDR0000692475, SWOG-S1007, NCT01272037	Breast
318	NSHS-Children's	Response and Biology-Based Risk Factor-Guided Therapy in Treating Younger Patients with Non-high Risk Neuroblastoma	Holly J. Meany	Jonathan Fish, MD	116	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 17 months and under	 ANBL1232, NCI-2014-00677, NCT02176967	CNS
319	NSHS-Children's	Isotretinoin with or without Dinutuximab, Aldesleukin, and Sargramostim following Stem Cell Transplant in Treating Patients with Neuroblastoma	Alice Lin-Tsing Yu	Jonathan Fish, MD	116	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 30 and under at diagnosis	 ANBL0032, NCI-2009-01064, CDR0000069018, COG-ANBL0032, COG-P9842, NCT00026312	CNS
320	NSLIJ 	Cytarabine and Daunorubicin Hydrochloride or Idarubicin and Cytarabine with or without Vorinostat in Treating Younger Patients with Previously Untreated Acute Myeloid Leukemia	Guillermo Garcia-Manero	Jonathan Kolitz, MD	67	Phase III	NCI	NCI	 Biomarker/Laboratory analysis, Treatment	 15 to 60	 S1203, NCI-2013-00490, PS1203_A06PAMDREVW01, SWOG-S1203, NCT01802333	Leukemia
321	Feinstein Institute	A Randomized Phase III Study of Standard Cytarabine Plus Daunorubicin (7+3) Therapy or Idarubicin with High Dose Cytarabine (IA) vs IA with Vorinostat (NSC 701852) (IA+V) in Younger Patients with Untreated AML		Jonathan Kolitz, MD	67	Phase III			Treatment	between the ages of 18 and 60 years old	C13-179	Leukemia
322	LIJ; NSLIJ	Hormone Therapy with or without Everolimus in Treating Patients with Breast Cancer	Mariana Chavez-MacGregor	Lora Weiselberg, MD	104	Phase III	SWOG; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 S1207, NCI-2012-01995, CDR0000738280, SWOG-S1207, NCT01674140	Breast
323	NSLIJ 	Olaparib in Treating Patients with Triple-Negative Non-metastatic Breast Cancer Who Have Completed Definitive Local Treatment and Chemotherapy	Charles Edward Geyer	Lora Weiselberg, MD	104	Phase III	NRG Oncology; NCI	Coop Group; NCI	 Natural history/Epidemiology, Treatment	 18 and over	 NSABP-B-55, NCI-2014-00644, BIG 6-13, D081CC00006, NCT02032823	Breast
324	Feinstein Institute	Phase III Randomized, Placebo-Controlled Clinical Trial Evaluating Adjuvant Endocrine Therapy +/- 1 Year of Everolimus in High-Risk, Hormone Receptor Positive and HER2/Neu Negative Breast Cancer		Lora Weiselberg, MD	104	Phase III			Treatment	18 years of age or older	E13-515	Breast
325	LIJ; NSHS-SS; NSLIJ	Radiation Therapy With or Without Androgen-Deprivation Therapy in Treating Patients With Prostate Cancer	Alvaro Martinez	Louis Potters, MD	75	Phase III	NRG Oncology; NCI	Coop Group; NCI	 Treatment	 18 and over	 RTOG 0815, NCI-2011-01948, CDR0000648194, NCT00936390	Prostate
326	NSLIJ; NSHS-SS	Androgen-Deprivation Therapy and Radiation Therapy in Treating Patients with Prostate Cancer	Mack Roach	Louis Potters, MD	75	Phase III	NRG Oncology; NCI	Coop Group; NCI	 Treatment	 18 and over	 RTOG 0924, NCI-2011-02674, CDR0000701128, PRTOG-0924_A03PAMDREVW01, NCT01368588	Prostate
327	Feinstein Institute	A Phase III Prospective Randomized Trial of Dose-Escalated Radiotherapy With or Without Short-Term Androgen Deprivation Therapy for Patients with Intermediate-Risk Prostate Cancer		Louis Potters, MD	75	Phase III			Treatment	18 or older	09-293A	Prostate
328	Feinstein Institute	Androgen Deprivation Therapy and High Dose Radiotherapy with or Without Whole-Pelvic Radiotherapy in Unfavorable Intermediate or Favorable High Risk Prostate Cancer: A Phase III Randomized Trial		Louis Potters, MD	75	Phase III			Treatment	18 or older	11-372B	Prostate
329	LIJ; NSLIJ; NSHS-SS	Diet in Altering Disease Progression in Patients with Prostate Cancer on Active Surveillance	J. Kellogg Parsons	Manish Vira, MD	184	Phase III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 50 to 80	 CALGB 70807, NCI-2011-02613, CDR0000687958, NCT01238172	Prostate
330	NSHS-Children's	Caspofungin Acetate or Fluconazole in Preventing Invasive Fungal Infections in Patients with Acute Myeloid Leukemia Who Are Undergoing Chemotherapy	Theoklis E. Zaoutis	Mark P. Atlas, MD	129	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care	 3 months to 30 years	 ACCL0933, NCI-2011-02640, CDR0000695748, COG-ACCL0933, NCT01307579	Leukemia
331	NSHS-Children's	Chemotherapy and Radiation Therapy in Treating Young Patients with Newly Diagnosed, Previously Untreated, High-Risk Medulloblastoma	James Michael Olson	Mark P. Atlas, MD	129	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 3 to 21	 ACNS0332, NCI-2009-00336, CDR0000511991, COG-ACNS0332, NCT00392327	Brain
332	NSHS-Children's	Maintenance Chemotherapy or Observation Following Induction Chemotherapy and Radiation Therapy in Treating Younger Patients With Newly Diagnosed Ependymoma	Amy Amundson Smith	Mark P. Atlas, MD	129	Phase III	Children's Oncology Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 1 to 21	 ACNS0831, NCI-2011-02029, CDR0000668560, COG-ACNS0831, NCT01096368	Brain
333	NSHS-SI	Duloxetine Hydrochloride in Treating Muscle, Bone, and Joint Pain in Patients With Early-Stage Breast Cancer Receiving Hormone Therapy	Norah Lynn Henry	Meekoo Dhar, MD	149	Phase III	SWOG; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Supportive care	 Not specified	 S1202, NCI-2012-01960, CDR0000730691, SWOG-S1202, NCT01598298	Breast
334	NSHS-SI	Oxaliplatin, Leucovorin Calcium, and Fluorouracil with or without Celecoxib in Treating Patients with Stage III Colon Cancer Previously Treated with Surgery	Jeffrey A. Meyerhardt	Meekoo Dhar, MD	149	Phase III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CALGB 80702, NCI-2011-02050, CALGB/SWOG 80702, CALGB-SWOG C80702, CDR0000675693, NCT01150045	Colorectal
335	NSHS-SI	Early Surgery or Standard Palliative Therapy in Treating Patients with Stage IV Breast Cancer	Seema Ahsan Khan	Meekoo Dhar, MD	149	Phase III	ECOG-ACRIN Cancer Research Group; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 E2108, NCI-2011-02645, CDR0000688097, ECOG-E2108, NCT01242800	Breast
336	Feinstein Institute	A Randomized Placebo-Controlled Phase III Study of Duloxetine for Treatment of Aromatase Inhibitor (AI)-Associated Musculoskeletal Symptoms in Women with Early Stage Breast Cancer		Meekoo Dhar, MD	149	Phase III			Treatment		14-080	Breast
337	Feinstein Institute	Phase III Study of Rindopepimut/GM-CSF in Patients With Newly Diagnosed Glioblastoma (ACT IV) (Protocol CDX110-04)		Michael Schulder, MD	77	Phase III			Treatment	18 years of age	11-06-282-03	Brain
338	NSHS-SI	Tamoxifen Citrate, Letrozole, Anastrozole, or Exemestane with or without Chemotherapy in Treating Patients with Invasive RxPONDER Breast Cancer	Kevin Michael Kalinsky	Qun Dai, MD	141	Phase III	NCI	NCI	 Health services research, Treatment	 18 and over	 S1007, NCI-2011-02623, CDR0000692475, PS1007_A11PAMDREVW01, SWOG-S1007, NCT01272037	Breast
339	NSLIJ 	Standard-Dose Lenalidomide, Bortezomib, and Dexamethasone or High-Dose Lenalidomide, Bortezomib, and Dexamethasone Followed by Peripheral Blood Stem Cell Transplant in Treating Patients with Multiple Myeloma	Paul Gerard Guy Richardson	Ruthee-Lu Bayer, MD	97	Phase III	Dana-Farber Harvard Cancer Center; NCI	IIT; NCI	 Treatment	 18 to 65	 10-106, NCI-2010-02211, IFM/DFCI 2009, NCT01208662	Multiple Myeloma
340	NSLIJ 	Doxepin Hydrochloride or DLA Rinse in Reducing Oral Mucositis Pain in Patients with Head and Neck Cancer undergoing Radiation Therapy	Robert C. Miller	Sewit Teckie, MD	182	Phase III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Supportive care	 18 and over	 A221304, NCI-2014-01877, NCT02229539	Head & Neck
341	Feinstein Institute	A Phase III Trial of Adjuvant Chemotherapy as Primary Treatment for Locally Advanced Cervical Cancer Compared to Chemoradiation Alone: The OUTBACK Trial		Veena Susan John, MD	95	Phase III			Treatment	female 18 years of age or older	C13-137	Cervix
342	LIJ; NSLIJ	Diet and Physical Activity Change or Usual Care in Improving Progression-Free Survival in Patients with Previously Treated Stage II, III, or IV Ovarian, Fallopian Tube, or Primary Peritoneal Cancer	David S. Alberts	Veena Susan John, MD	95	Phase III	NRG Oncology; NCI	Coop Group; NCI	 Behavioral study, Biomarker/Laboratory analysis	 Not specified	 GOG-0225, NCI-2009-00595, CDR0000594600, NCT00719303	Ovary; Fallopian; Primary Peritoneal
343	LIJ; NSLIJ	Cisplatin and Radiation Therapy With or Without Carboplatin and Paclitaxel in Patients With Locally Advanced Cervical Cancer	Kathleen N. Moore	Veena Susan John, MD	95	Phase III	Gynecologic Oncology Group; NCI	Coop Group; NCI	 Supportive care, Treatment	 18 and over	 ANZGOG-0902/GOG-0274/RTOG-1174, NCI-2011-02978, ANZGOG-0902, CDR0000706698, GOG-0274, RTOG-1174, ANZGOG-0902-GOG-0274, NCT01414608	Cervix
344	LIJ; NSLIJ	Carboplatin, Paclitaxel and Gemcitabine Hydrochloride with or without Bevacizumab after Surgery in Treating Patients with Recurrent Ovarian Epithelial Cancer, Primary Peritoneal Cavity Cancer, or Fallopian Tube Cancer	Robert L. Coleman	Veena Susan John, MD	95	Phase III	NCI	NCI	 Treatment	 18 and over	 GOG-0213, NCI-2009-00587, CDR0000546714, NCT00565851	Ovary; Fallopian; Primary Peritoneal
345	LIJ; NSLIJ;	Oxaliplatin, Leucovorin Calcium, and Fluorouracil with or without Celecoxib in Treating Patients with Stage III Colon Cancer Previously Treated with Surgery	Jeffrey A. Meyerhardt	Vincent Vinciguerra, MD	85	Phase III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 CALGB 80702, NCI-2011-02050, CALGB/SWOG 80702, CALGB-SWOG C80702, CDR0000675693, NCT01150045	Colorectal
346	Feinstein Institute	Phase III Randomized Study of Sorafenib Plus Doxorubicin Versus Sorafenib in Patients with Advanced Hepatocellular Carcinoma (HCC)		Vincent Vinciguerra, MD	85	Phase III			Treatment	18 or older	10-157B	Liver
347	Feinstein Institute	A Phase III Trial of 6 Versus 12 Treatments of Adjuvant FOLFOX Plus Celecoxib or Placebo for Patients with Resected Stage III Colon Cancer		Vincent Vinciguerra, MD	85	Phase III			Treatment	18 or older	10-295A	Colorectal
348	NSLIJ 	Enzalutamide with or without Abiraterone Acetate and Prednisone in Treating Patients with Castration-Resistant Metastatic Prostate Cancer	Michael J. Morris	Xinhua Zhu, MD, PhD	145	Phase III	Alliance for Clinical Trials in Oncology; NCI	Coop Group; NCI	 Biomarker/Laboratory analysis, Treatment	 18 and over	 A031201, NCI-2013-01737, CALGB-A031201, NCT01949337	Prostate; Mets
349	Feinstein Institute	Phase III Trial of Enzalutamide (NSC# 766085) Versus Enzalutamide, Abiraterone and Prednisone for Castration Resistant Metastatic Prostate Cancer		Xinhua Zhu, MD, PhD	145	Phase III			Treatment	18 Years and older	E14-266	Prostate
