Project Title	Tumor Type	Administering  IC	Application ID	Project Number	Type	Activity	IC	Serial Number	Support Year	Suffix	Subproject Number 	Contact PI  Person ID	Contact PI / Project Leader	PI Trim	MemberID	Other PI or Project Leader(s)	Organization Name	ARRA Indicator	FY	FY Total Cost 	FY Total Cost  (Sub Projects)	FY Total
STATISTICAL METHODS IN HIV VACCINE EFFICACY TRIALS		NIAID	7928536	2R37AI054165-08	2	R37	AI	54165	8			1941165	GILBERT, PETER B.	GILBERT, PETER B.		Not Applicable	Fred Hutch	 	2010	355826		355826
P-3:  CHARACTERIZATION AND TARGETING OF THE CYTOPROTECTIVE CHAPERONE; HSP27		NCI	8130548	5P50CA097186-09	5	P50	CA	97186	9		3	9257662	GLEAVE, MARTIN 	GLEAVE, MARTIN		Not Applicable	Fred Hutch	 	2010		274675	274675
THE STATISTICAL AND COMPUTATIONAL ANALYSIS OF FLOW CYTOMETRY DATA		NIBIB	8068069	3R01EB008400-03S1	3	R01	EB	8400	3	S1		8779785	GOTTARDO, RAPHAEL 	GOTTARDO, RAPHAEL		Not Applicable	Fred Hutch	 	2010	51400		51400
THE STATISTICAL AND COMPUTATIONAL ANALYSIS OF FLOW CYTOMETRY DATA		NIBIB	7828142	5R01EB008400-03	5	R01	EB	8400	3			8779785	GOTTARDO, RAPHAEL 	GOTTARDO, RAPHAEL		Not Applicable	Fred Hutch	 	2010	338802		338802
DISSECTING THE MECHANISM OF INCREASED GENOMIC INSTABILITY IN AGING YEAST		NIA	8040780	2R37AG023779-06A1	2	R37	AG	23779	6	A1		1883041	GOTTSCHLING, DANIEL E.	GOTTSCHLING, DANIEL E.		Not Applicable	Fred Hutch	 	2010	368119		368119
MECHANISM OF INCREASE GENOMIC INSTABILITY IN AGING YEAST		NIA	8134674	3R01AG023779-05S1	3	R01	AG	23779	5	S1		1883041	GOTTSCHLING, DANIEL E.	GOTTSCHLING, DANIEL E.		Not Applicable	Fred Hutch	 	2010	176000		176000
TGF-BETA SIGNALING AND COLON CANCER		NCI	7745523	5R01CA115513-04	5	R01	CA	115513	4			1865649	GRADY, WILLIAM MALLORY	GRADY, WILLIAM MALLORY		Not Applicable	Fred Hutch	 	2010	322452		322452
IDENTIFY AND VALIDATE NOVEL EPIGENETIC MOLECULAR MARKERS FOR COLORECTAL NEOPLASM		NCI	7983008	1U01CA152756-01	1	U01	CA	152756	1			1865649	GRADY, WILLIAM MALLORY 	GRADY, WILLIAM MALLORY		MARKOWITZ, SANFORD D	Fred Hutch	 	2010	462017		462017
CLINICAL		NCI	8181529	1P50CA138293-01A1	1	P50	CA	138293	1	A1	6635	1938864	GRALOW, JULIE R.	GRALOW, JULIE R.		Not Applicable	Fred Hutch	 	2010		208521	208521
ROLE OF RECQ HELICASES TO PREVENT SENESCENCE BY C-MYC		NIA	7800321	5R01AG026661-05	5	R01	AG	26661	5			1861218	GRANDORI, CARLA 	GRANDORI, CARLA		Not Applicable	Fred Hutch	 	2010	300693		300693
CANINE HISTOCOMPATIBILITY TYPING		NCI	8067934	5P01CA078902-12	5	P01	CA	78902	12		8827	1941847	GRAVES, SCOTT STOLL	GRAVES, SCOTT STOLL		Not Applicable	Fred Hutch	 	2010		117039	117039
RADIOIMMUNOTHERAPY FOR MULTIPLE MYELOMA		NCI	7961114	1K08CA151682-01	1	K08	CA	151682	1			10155660	GREEN, DAMIAN J.	GREEN, DAMIAN J.		Not Applicable	Fred Hutch	 	2010	169560		169560
SPECIFIC ADOPTIVE IMMUNOTHERAPY OF LEUKEMIA		NCI	8073190	5P01CA018029-35	5	P01	CA	18029	35		48	9253382	GREENBERG, PHILIP D	GREENBERG, PHILIP D		Not Applicable	Fred Hutch	 	2010		568090	568090
MECHANISMS OF TUMOR SUPPRESSION BY FBW7		NCI	7851284	5K08CA109124-05	5	K08	CA	109124	5			7850426	GRIM, JONATHAN E	GRIM, JONATHAN E		Not Applicable	Fred Hutch	 	2010	140535		140535
LIVE CELL IMAGING OF IGH AND C-MYC GENE LOCI AND THE ROLE OF NUCLEAR ORGANIZATION		NCI	7943970	5RC1CA146572-02	5	RC1	CA	146572	2			1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	YES	2010	437835		437835
FUNCTION OF HUMAN & MOUSE BETA-GLOBIN LOCUS CONTROL REGIONS		NIDDK	7802218	5R37DK044746-19	5	R37	DK	44746	19			1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	 	2010	667327		667327
FUNCTION OF HUMAN & MOUSE BETA-GLOBIN LOCUS CONTROL REGIONS		NIDDK	7982455	3R37DK044746-18S1	3	R37	DK	44746	18	S1		1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	YES	2010	99987		99987
ACTIVATION AND SILENCING OF GENE EXPRESSION DURING HEMATOPOIESIS--OLD		NHLBI	7910622	5R01HL065440-11	5	R01	HL	65440	11			1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	 	2010	906777		906777
DATA CENTER CORE CONSOLIDATION		NCRR	7935361	1G20RR030856-01	1	G20	RR	30856	1			1858526	GROUDINE, MARK T	GROUDINE, MARK T		Not Applicable	Fred Hutch	YES	2010	9609225		9609225
PATHOLOGY CORE		NCI	8073193	5P01CA018029-35	5	P01	CA	18029	35		9005	9253399	HACKMAN, ROBERT M	HACKMAN, ROBERT M		Not Applicable	Fred Hutch	 	2010		172568	172568
MOLECULAR ANALYSIS OF EUKARYOTIC TRANSCRIPTION		NIGMS	7806586	5R01GM053451-15	5	R01	GM	53451	15			1887728	HAHN, STEVEN M	HAHN, STEVEN M		Not Applicable	Fred Hutch	 	2010	653721		653721
MECHANISMS OF EUKARYOTIC TRANSCRIPTION ACTIVATION		NIGMS	7880515	2R01GM075114-05A1	2	R01	GM	75114	5	A1		1887728	HAHN, STEVEN M	HAHN, STEVEN M		Not Applicable	Fred Hutch	 	2010	520478		520478
METHODS FOR EVALUATING VACCINE EFFICACY		NIAID	7992103	2R37AI032042-17	2	R37	AI	32042	17			1890460	HALLORAN, M ELIZABETH	HALLORAN, M ELIZABETH		Not Applicable	Fred Hutch	 	2010	528251		528251
PREVENTIVE INTERVENTIONS LEADERSHIP U01		NCI	7936970	5U01CA141550-02	5	U01	CA	141550	2			6588092	HANASH, SAMIR M	HANASH, SAMIR M		Not Applicable	Fred Hutch	 	2010	412163		412163
REGULATORY T CELLS IN GRAFT-VERSUS-HOST DISEASE		NIAID	8119591	5P01AI033484-15	5	P01	AI	33484	15		6272	1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2010		394028	394028
PROGRAM ADMINISTRATION		NIAID	8119592	5P01AI033484-15	5	P01	AI	33484	15		6274	1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2010		164759	164759
IMMUNOBIOLOGY OF TOLERANCE FF ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTATION		NIAID	7896481	5P01AI033484-15	5	P01	AI	33484	15			1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2010	1250021		1250021
BIOMARKER DISCOVERY IN CHRONIC GRAFT-VS-HOST DISEASE		NHLBI	7881588	5R01HL094260-03	5	R01	HL	94260	3			1877913	HANSEN, JOHN ANDREW	HANSEN, JOHN ANDREW		Not Applicable	Fred Hutch	 	2010	440000		440000
CORE C: CLONAL ANALYSIS		NIDDK	8066122	2P30DK056465-12	2	P30	DK	56465	12		5478	1919888	HARKEY, MICHAEL A	HARKEY, MICHAEL A		Not Applicable	Fred Hutch	 	2010		146882	146882
THE NATIONAL CANCER INSTITUTE'S CONTACT CENTER		NCI	8181909	261201000004C-3-0-1		N02						10423247	HARTWELL, LELAND H	HARTWELL, LELAND H		Not Applicable	Fred Hutch	 	2010	7194128		7194128
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8145415	3P30CA015704-36S3	3	P30	CA	15704	36	S3		6249948	HARTWELL, LELAND H	HARTWELL, LELAND H		Not Applicable	Fred Hutch	 	2010	100000		100000
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	8100633	3P30CA015704-36S2	3	P30	CA	15704	36	S2		6249948	HARTWELL, LELAND H	HARTWELL, LELAND H		Not Applicable	Fred Hutch	 	2010	86416		86416
CANCER CENTER SUPPORT GRANT (COMPREHENSIVE)		NCI	7783800	5P30CA015704-36	5	P30	CA	15704	36			6249948	HARTWELL, LELAND H	HARTWELL, LELAND H		Not Applicable	Fred Hutch	 	2010	11342319		11342319
THERMOSCIENTIFIC TSQ VANTAGE MASS SPECTROMETER		NCRR	7792012	1S10RR026769-01	1	S10	RR	26769	1			6249948	HARTWELL, LELAND H	HARTWELL, LELAND H		Not Applicable	Fred Hutch	YES	2010	335371		335371
HIGH-PERFORMANCE COMPUTING CLUSTER		NCRR	7793588	1S10RR027721-01	1	S10	RR	27721	1			6249948	HARTWELL, LELAND H	HARTWELL, LELAND H		Not Applicable	Fred Hutch	YES	2010	496331		496331
CELL PROCESSING AND STORAGE CORE		NCI	8073196	5P01CA018029-35	5	P01	CA	18029	35		9015	1921030	HEIMFELD, SHELLY 	HEIMFELD, SHELLY		Not Applicable	Fred Hutch	 	2010		669795	669795
CORE B: LARGE-SCALE CELL PROCESSING		NIDDK	8066121	2P30DK056465-12	2	P30	DK	56465	12		5477	1921030	HEIMFELD, SHELLY 	HEIMFELD, SHELLY		Not Applicable	Fred Hutch	 	2010		161874	161874
EPIGENOMIC PROFILING OF HISTONE TURNOVER KINETICS IN MAMMALIAN CELLS		NIEHS	8022473	1R01ES020116-01	1	R01	ES	20116	1			1862345	HENIKOFF, STEVEN 	HENIKOFF, STEVEN		Not Applicable	Fred Hutch	 	2010	506345		506345
GENOME-WIDE PROFILING OF HISTONE VARIANTS IN DROSOPHILA AND CAENORHABDITIS		NHGRI	7798606	5U01HG004274-04	5	U01	HG	4274	4			1862345	HENIKOFF, STEVEN 	HENIKOFF, STEVEN		Not Applicable	Fred Hutch	 	2010	390992		390992
COMPUTATIONAL APPROACHES TO STUDYING IMMUNODOMINANCE.		NIAID	7841457	1K25AI087397-01	1	K25	AI	87397	1			9866388	HERTZ, TOMER 	HERTZ, TOMER		Not Applicable	Fred Hutch	 	2010	123938		123938
IDENTIFICATION OF KEY HEMATOPOIETIC FATE REGULATORS INDUCED BY NOTCH SIGNALING		NIGMS	7882625	5F32GM083614-03	5	F32	GM	83614	3			7129277	HIGA, LEIGH ANN AKI	HIGA, LEIGH ANN AKI		Not Applicable	Fred Hutch	 	2010	52154		52154
BIOMEDICAL (BASIC)		WH	8072849	268200900003C-2-0-1		N01						1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R		Not Applicable	Fred Hutch	 	2010	583493		583493
MOLECULAR AND CELLULAR ORIGINS OF PANCREATIC CANCER		NCI	8142505	3K08CA114028-03S1	3	K08	CA	114028	3	S1		1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R		Not Applicable	Fred Hutch	 	2010	148092		148092
GENETIC PROGRESSION OF PANCREATIC MUCINOUS CYSTIC NEOPLASMS TO INVASIVE CARCINOMA		NCI	7802925	5R01CA129357-02	5	R01	CA	129357	2			1926329	HINGORANI, SUNIL R	HINGORANI, SUNIL R		Not Applicable	Fred Hutch	 	2010	369582		369582
METABOLIC ALTERATIONS IN ADVANCED BREAST CANCER AND RESPONSE TO SYSTEMIC THERAPY.		NCI	8181511	1P50CA138293-01A1	1	P50	CA	138293	1	A1	6631	1936563	HOCKENBERY, DAVID M.	HOCKENBERY, DAVID M.		Not Applicable	Fred Hutch	 	2010		235980	235980
MONOCYTE-MEDIATED HOST DEFENSE AGAINST ASPERGILLUS FUMIGATUS		NIAID	7762783	5K08AI071998-04	5	K08	AI	71998	4			8088054	HOHL, TOBIAS M	HOHL, TOBIAS M		Not Applicable	Fred Hutch	 	2010	113306		113306
AGE-INDUCED DEFECTS IN DNA REPAIR		NIA	7904831	5F30AG032808-03	5	F30	AG	32808	3			9293566	HSU, JESSICA 	HSU, JESSICA		Not Applicable	Fred Hutch	 	2010	35509		35509
GENETIC EPIDEMIOLOGY OF BREAST CANCER: RISK; INSTABILITY; AND STATISTICAL METHODS		NIA	7915336	5R01AG014358-12	5	R01	AG	14358	12			1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2010	285754		285754
GENOME-WIDE ASSOCIATION AND LINKAGE STUDIES WITH DIVERSE RESOURCES		NCI	8103026	5P01CA053996-33	5	P01	CA	53996	33		4	1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2010		170707	170707
BIOSTATISTICS		NCI	8181549	1P50CA138293-01A1	1	P50	CA	138293	1	A1	6639	1938051	HSU, LI 	HSU, LI		Not Applicable	Fred Hutch	 	2010		52136	52136
STATISTICAL METHODS FOR EVALUATING MARKERS FOR TREATMENT SELECTION		NCI	7947492	1R01CA152089-01	1	R01	CA	152089	1			6817166	JANES, HOLLY 	JANES, HOLLY		Not Applicable	Fred Hutch	 	2010	165817		165817
INCIDENCE; TIMING AND COFACTORS THAT CONTRIBUTE TO THE HIGH RISK OF HIV-1 INFECT		NICHD	8129492	5P01HD064915-02	5	P01	HD	64915	2		6851	1896447	JOHN-STEWART, GRACE C	JOHN-STEWART, GRACE C		Not Applicable	Fred Hutch	 	2010		523101	523101
METHYLATED DNA BIOMARKERS FOR BARRETT'S ESOPHAGUS AND ESOPHAGEAL ADENOCARCINOMA		NIDDK	7883338	5K08DK080630-04	5	K08	DK	80630	4			7888982	KAZ, ANDREW M	KAZ, ANDREW M		Not Applicable	Fred Hutch	 	2010	129870		129870
METHYLATED DNA BIOMARKERS FOR BARRETT'S ESOPHAGUS AND ESOPHAGEAL ADENOCARCINOMA		NIDDK	8011150	3K08DK080630-03S1	3	K08	DK	80630	3	S1		7888982	KAZ, ANDREW M	KAZ, ANDREW M		Not Applicable	Fred Hutch	YES	2010	54000		54000
DEVELOPMENT OF NOVEL AIDS GENE THERAPY STRATEGIES IN THE MACAQUE SHIV MODEL		NIAID	7941981	5R01AI080326-02	5	R01	AI	80326	2			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2010	524469		524469
DEVELOPMENT OF NOVEL AIDS GENE THERAPY STRATEGIES IN THE MACAQUE SHIV MODEL		NIAID	8070949	3R01AI080326-01A2S1	3	R01	AI	80326	1	A2S1		2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	YES	2010	13265		13265
HEMATOPOIETIC CHEMOPROTECTION IN GLIOBLASTOMA PATIENTS		NCI	7935402	5R01CA114218-05	5	R01	CA	114218	5			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2010	445303		445303
CORE D: VECTOR PRODUCTION		NIDDK	8066124	2P30DK056465-12	2	P30	DK	56465	12		5479	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2010		180442	180442
GENE THERAPY IN HEMATOPOIETIC CELLS		NHLBI	8131707	5P01HL036444-30	5	P01	HL	36444	30		10	2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2010		777107	777107
LAGLIDADG DELIVERY AND GENE REPAIR IN HEMATOPOIETIC STEM CELLS (7 OF 11)		NHLBI	7903225	5RL1HL092554-04	5	RL1	HL	92554	4			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2010	610912		610912
DEVELOPMENT OF SAFE AND EFFICIENT GENE THERAPY STRATEGIES FOR HEMOGLOBINOPATHIES		NHLBI	7768551	1R01HL098489-01	1	R01	HL	98489	1			2090964	KIEM, HANS-PETER 	KIEM, HANS-PETER		Not Applicable	Fred Hutch	 	2010	735238		735238
CLINICAL SPECIMEN MANAGEMENT AND CHARACTERIZATION CORE		NCI	8077359	5P50CA083636-12	5	P50	CA	83636	12		7970	1938161	KNUDSEN, BEATRICE S.	KNUDSEN, BEATRICE S.		Not Applicable	Fred Hutch	 	2010		297940	297940
LOCAL DETERMINANTS OF HSV-2 SHEDDING IN HUMANS		NIAID	8130905	5P01AI030731-20	5	P01	AI	30731	20		10	1872996	KOELLE, DAVID M	KOELLE, DAVID M		Not Applicable	Fred Hutch	 	2010		173051	173051
EPIDEMIOLOGY OF PUTATIVE GENUINE GENETIC VARIANT:  THE WOMEN'S HEALTH INTIATIVE		NHGRI	7858006	5U01HG004790-03	5	U01	HG	4790	3			1861221	KOOPERBERG, CHARLES L	KOOPERBERG, CHARLES L		Not Applicable	Fred Hutch	 	2010	1916734		1916734
ADIPOSE TISSUE INFLAMMATION AND ESTROGEN SYNTHESIS		NCI	7990797	1R21CA143248-01A1	1	R21	CA	143248	1	A1		9240904	KRATZ, MARIO 	KRATZ, MARIO		Not Applicable	Fred Hutch	 	2010	206831		206831
INTEGRATED SENSOR TECHNOLOGY FOR REAL-TIME RECORDING OF FOOD INTAKE		NCI	7780106	1U01CA135133-01A2	1	U01	CA	135133	1	A2		1917113	KRISTAL, ALAN R.	KRISTAL, ALAN R.		Not Applicable	Fred Hutch	 	2010	714853		714853
MENOPAUSAL SYMPTOMS INITIATIVE-FINDING LASTING ANSWERS FOR SWEATS AND HOT FLASHES		NIA	7923877	5U01AG032699-03	5	U01	AG	32699	3			1871640	LACROIX, ANDREA Z. 	LACROIX, ANDREA Z.		ANDERSON, GARNET L.	Fred Hutch	 	2010	2827570		2827570
CRUCIFEROUS VEGETABLE FEEDING AND INFLAMMATION: EFFECT OF GST GENOTYPES		NCI	7983138	1R01CA142695-01A1	1	R01	CA	142695	1	A1		1938336	LAMPE, JOHANNA W	LAMPE, JOHANNA W		Not Applicable	Fred Hutch	 	2010	260263		260263
CX43 PHOSPHORYLATION MODULATES KRAS MEDIATED PANCREAS CANCER PROGRESSION		NCI	7876599	1R21CA149554-01	1	R21	CA	149554	1			3168785	LAMPE, PAUL D	LAMPE, PAUL D		Not Applicable	Fred Hutch	 	2010	229680		229680
AFFINITY BASED STRATEGIES TO FAST TRACK DEVELOPMENT OF COLON CANCER BIOMARKERS		NCI	7982796	1U01CA152746-01	1	U01	CA	152746	1			3168785	LAMPE, PAUL D 	LAMPE, PAUL D		HANASH, SAMIR M	Fred Hutch	 	2010	658130		658130
PHOSPHORYLATION OF GAP JUNCTION PROTEINS		NIGMS	7783267	2R01GM055632-13	2	R01	GM	55632	13			3168785	LAMPE, PAUL D	LAMPE, PAUL D		Not Applicable	Fred Hutch	 	2010	376907		376907
STATISTICAL METHODS FOR CLINICAL STUDIES		NCI	7903945	5R01CA090998-08	5	R01	CA	90998	8			1941183	LEBLANC, MICHAEL L.	LEBLANC, MICHAEL L.		Not Applicable	Fred Hutch	 	2010	249480		249480
LONGITUDINAL STUDY OF IMMUNE MEDIATED DISORDERS AFTER ALLOGENEIC HCT		NIAID	8134953	5U54AI083028-02	5	U54	AI	83028	2		5035	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2010		357977	357977
TRAINING AND CAREER DEVELOPMENT CORE		NIAID	8134956	5U54AI083028-02	5	U54	AI	83028	2		8522	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2010		153516	153516
RDCRC ADMINISTRATIVE UNIT		NIAID	8134957	5U54AI083028-02	5	U54	AI	83028	2		8523	1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2010		233404	233404
IMMUNE MEDIATED DISORDERS AFTER ALLOGENEIC HEMATOPOIETIC CELL TRANSPLANTS (HCT)		NIAID	7935163	5U54AI083028-02	5	U54	AI	83028	2			1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2010	1237500		1237500
IMPROVING OUTCOMES ASSESSMENT IN CHRONIC GVHD		NCI	8141801	3U01CA118953-04S1	3	U01	CA	118953	4	S1		1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2010	59000		59000
IMPROVING OUTCOMES ASSESSMENT IN CHRONIC GVHD		NCI	7848990	5U01CA118953-04	5	U01	CA	118953	4			1901140	LEE, STEPHANIE J	LEE, STEPHANIE J		Not Applicable	Fred Hutch	 	2010	743098		743098
RISK FACTORS FOR SECOND PRIMARY BREAST CANCER AMONG DCIS SURVIVORS		NCI	7885219	2R01CA097271-06A2	2	R01	CA	97271	6	A2		6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2010	600677		600677
MIGRAINE; MIGRAINE MEDICATION USE; AND RISK OF BREAST CANCER		NCI	7880132	5R03CA135688-02	5	R03	CA	135688	2			6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2010	88000		88000
RISK FACTORS FOR TRIPLE-NEGATIVE AND HER2-OVEREXPRESSING BREAST CANCER AMONG HI..		NCI	7881265	1P50CA148143-01	1	P50	CA	148143	1		6185	6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2010		288447	288447
BREAST AND OVARY CANCER CLINICAL VALIDATION CENTER		NCI	7982246	1U01CA152637-01	1	U01	CA	152637	1			6603731	LI, CHRISTOPHER I	LI, CHRISTOPHER I		Not Applicable	Fred Hutch	 	2010	859566		859566
IN VIVO EFFECTS OF SULFORAPHANE SUPPLEMENTATION ON NORMAL HUMAN PROSTATE		NCI	8095726	3R01CA131255-02S1	3	R01	CA	131255	2	S1		2046172	LIN, DANIEL W. 	LIN, DANIEL W.		KNUDSEN, BEATRICE S.	Fred Hutch	 	2010	95983		95983
IN VIVO EFFECTS OF SULFORAPHANE SUPPLEMENTATION ON NORMAL HUMAN PROSTATE		NCI	7898954	5R01CA131255-02	5	R01	CA	131255	2			2046172	LIN, DANIEL W. 	LIN, DANIEL W.		KNUDSEN, BEATRICE S.	Fred Hutch	 	2010	536166		536166
RETROVIRAL CODED FUNCTIONS		NCI	7760858	5R01CA018282-34	5	R01	CA	18282	34			1884040	LINIAL, MAXINE L	LINIAL, MAXINE L		Not Applicable	Fred Hutch	 	2010	485830		485830
CONTAINING BIOTERRORIST AND EMERGING INFECTIOUS DISEASES		NIGMS	8134104	3U01GM070749-08S2	3	U01	GM	70749	8	S2		8541810	LONGINI, IRA M 	LONGINI, IRA M		HALLORAN, M ELIZABETH	Fred Hutch	 	2010	150000		150000
CONTAINING BIOTERRORIST AND EMERGING INFECTIOUS DISEASES		NIGMS	8060088	3U01GM070749-08S1	3	U01	GM	70749	8	S1		8541810	LONGINI, IRA M 	LONGINI, IRA M		HALLORAN, M ELIZABETH	Fred Hutch	 	2010	90001		90001
CONTAINING BIOTERRORIST AND EMERGING INFECTIOUS DISEASES		NIGMS	7826680	5U01GM070749-08	5	U01	GM	70749	8			8541810	LONGINI, IRA M 	LONGINI, IRA M		HALLORAN, M ELIZABETH	Fred Hutch	 	2010	842982		842982
BIOMATHEMATICAL EVALUATION OF COLON CANCER SCREENING AND PREVENTION		NCI	7889570	2R01CA107028-05A1	2	R01	CA	107028	5	A1		2268350	LUEBECK, GEORG E.	LUEBECK, GEORG E.		Not Applicable	Fred Hutch	 	2010	266219		266219
REGULATORY T CELL MODULATION OF IMMUNITY TO MUCOSAL VIRAL INFECTIONS		NIAID	7992809	1R01AI087657-01A1	1	R01	AI	87657	1	A1		8733495	LUND, JENNIFER M.	LUND, JENNIFER M.		Not Applicable	Fred Hutch	 	2010	440000		440000
BIOSTATISTICS AND DATA MANAGEMENT		NCI	8118872	5P01CA042792-22	5	P01	CA	42792	22		9003	2478519	MADELEINE, MARGARET M	MADELEINE, MARGARET M		Not Applicable	Fred Hutch	 	2010		342399	342399
INFLAMMATION PATHWAYS IN BREAST CANCER		NCI	7901646	5R01CA116786-04	5	R01	CA	116786	4			2478519	MADELEINE, MARGARET M	MADELEINE, MARGARET M		Not Applicable	Fred Hutch	 	2010	430597		430597
MITIGATION OF RADIATION-INDUCED LUNG INJURY IN THE DOG MODEL		NIAID	8082436	3RC1AI081298-01S1	3	RC1	AI	81298	1	S1		1891165	MADTES, DAVID K	MADTES, DAVID K		Not Applicable	Fred Hutch	 	2010	699260		699260
BIOSTATISTICS AND DATA MANAGEMENT CORE		NIAID	8130908	5P01AI030731-20	5	P01	AI	30731	20		9006	6474828	MAGARET, AMALIA S.	MAGARET, AMALIA S.		Not Applicable	Fred Hutch	 	2010		194310	194310
BIOSTATISTICS AND EVOLUTIONARY ANALYSIS		NCI	8100333	5P01CA091955-09	5	P01	CA	91955	9		9005	6486040	MALEY, CARLO 	MALEY, CARLO		Not Applicable	Fred Hutch	 	2010		304530	304530
THE ROLE OF CYCLOPHILINA IN THE EVOLUTION OF RETROVIRAL RESTRICTION		NIAID	7945370	5F31AI084620-02	5	F31	AI	84620	2			9722069	MALFAVON-BORJA, RAYMOND 	MALFAVON-BORJA, RAYMOND		Not Applicable	Fred Hutch	YES	2010	33800		33800
GENETIC CONFLICT SHAPES CENTROMERES AND HETEROCHROMATIN		NIGMS	7986005	2R01GM074108-06	2	R01	GM	74108	6			8039624	MALIK, HARMIT S	MALIK, HARMIT S		Not Applicable	Fred Hutch	 	2010	362578		362578
ALLOGENEIC HCT FOR HEMATOLOGIC MALIGNANCIES: PHARMACOLOGIC MANIPULATIONS		NCI	8067932	5P01CA078902-12	5	P01	CA	78902	12		8825	1927522	MALONEY, DAVID G	MALONEY, DAVID G		Not Applicable	Fred Hutch	 	2010		185605	185605
TRANSCRIPTIONAL CONTROL OF STROMA DEPENDENT APOPTOSIS IN MDS		NIDDK	7989434	1K08DK085156-01A1	1	K08	DK	85156	1	A1		9634435	MARCONDES, A. MARIO Q.	MARCONDES, A. MARIO Q.		Not Applicable	Fred Hutch	 	2010	129870		129870
PATIENT ENROLLMENT; SPECIMEN AND DATA MANAGEMENT; AND BIOSTATISTICS		NIAID	8119593	5P01AI033484-15	5	P01	AI	33484	15		6275	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2010		270674	270674
PREVENTION AND TREATMENT OF GRAFT-VERSUS-HOST DISEASE		NCI	8073188	5P01CA018029-35	5	P01	CA	18029	35		46	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2010		290100	290100
LONG-TERM FOLLOW-UP CORE		NCI	8073197	5P01CA018029-35	5	P01	CA	18029	35		9016	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2010		394331	394331
CORE--LONG-TERM FOLLOW-UP AND CHRONIC GVHD		NHLBI	8131712	5P01HL036444-30	5	P01	HL	36444	30		9010	1876403	MARTIN, PAUL J	MARTIN, PAUL J		Not Applicable	Fred Hutch	 	2010		193243	193243
PBX HOMEODOMAIN PROTEINS IN SKELETAL MUSCLE DIFFERENTIATION		NIAMS	7924052	5R03AR057477-02	5	R03	AR	57477	2			1874507	MAVES, LISA A	MAVES, LISA A		Not Applicable	Fred Hutch	YES	2010	88000		88000
GASTROENTEROLOGY; PULMONARY AND NEPHROLOGY CORE		NCI	8073194	5P01CA018029-35	5	P01	CA	18029	35		9010	2084704	MC DONALD, GEORGE B	MC DONALD, GEORGE B		Not Applicable	Fred Hutch	 	2010		64020	64020
VAGINAL HEALTH AND THE RISK OF HIV-1 ACQUISTION IN KENYAN WOMEN		NICHD	8129493	5P01HD064915-02	5	P01	HD	64915	2		6858	3065493	MCCLELLAND, RAYMOND SCOTT	MCCLELLAND, RAYMOND SCOTT		Not Applicable	Fred Hutch	 	2010		559139	559139
